"mt_id","var3","dist","vel","acc","subject_nr","Condition","Target_subj","Target_obj","Target_pic","Target_pos","responded_correct","initiation_time","AUC","RT"
"id01","A",0,0,0,99,"CG","lion","lemon","lion_lemon","TL_Pic",1,491.973456576741,-76674.627101761,2139.01502859453
"id02","A",0,0,0,99,"GG","panda","bagel","panda_bagel","BR_Pic",1,0,32167.560912227,1586.80677456502
"id03","A",0,0,0,99,"GC","panda","kiwi","panda_kiwi","BR_Pic",0,811.164940222213,-6422.77176923212,2079.91010313388
"id04","A",0,0,0,99,"GG","panda","garlic","panda_garlic","TR_Pic",1,1014.84980310536,38202.4000994487,2742.83730569016
"id05","A",0,0,0,99,"GC","grizzly","lemon","grizzly_lemon","TR_Pic",1,1204.62994821425,2989.42395362339,2316.59605425817
"id06","A",0,0,0,99,"GG","lion","lemon","lion_lemon","TL_Pic",1,524.775214063537,-4352.05971495318,2281.63136549364
"id07","A",0,0,0,99,"GG","lion","kiwi","lion_kiwi","TR_Pic",1,0,7584.6477773427,609.630254612188
"id08","A",0,0,0,99,"GG","grizzly","berries","grizzly_berries","TL_Pic",1,539.348597889632,-40110.1817316881,1017.6388639427
"id09","A",0,0,0,99,"GG","zebra","garlic","zebra_garlic","TR_Pic",1,543.078955590434,-100.985140275508,1872.68605376012
"id10","A",0,0,0,99,"GC","grizzly","berries","grizzly_berries","BL_Pic",1,1577.74651076098,-6548.43318550475,2629.57751793496
"id11","A",0,0,0,99,"CG","zebra","bagel","zebra_bagel","BR_Pic",1,1519.04543897167,-9188.30874815851,2373.50849839323
"id12","A",0,0,0,99,"GC","lion","berries","lion_berries","BL_Pic",1,892.126616324857,18482.4878806854,3431.25621663406
"id13","A",0,0,0,99,"GC","lion","lemon","lion_lemon","TR_Pic",1,380.998537440214,15651.4646737999,907.139374857652
"id14","A",0,0,0,99,"CG","panda","brownie","panda_brownie","BR_Pic",1,0,1260.29866440548,517.15873981372
"id15","A",0,0,0,99,"CG","lion","garlic","lion_garlic","TR_Pic",1,502.750955795645,5994.31591549749,824.181894746958
"id16","A",0,0,0,99,"CG","lion","melon","lion_melon","BL_Pic",1,321.62695215513,-7254.05562544032,699.189026424196
"id17","A",0,0,0,99,"CG","panda","lemon","panda_lemon","TL_Pic",1,747.461675347954,-27174.3798091896,1967.0044088104
"id18","A",0,0,0,99,"CG","panda","cabbage","panda_cabbage","BL_Pic",1,89.9713917864673,-0.0375802890764589,249.920532740187
"id20","A",0,0,0,99,"CG","lion","brownie","lion_brownie","BR_Pic",1,1216.60760078307,-1267.70295773804,2482.87265465932
"id21","A",0,0,0,99,"CG","grizzly","lemon","grizzly_lemon","TL_Pic",1,0,-5193.49322503945,349.929739772924
"id22","A",0,0,0,99,"GG","panda","berries","panda_berries","TL_Pic",1,480.46280283222,15637.954909655,1000.96417256712
"id23","A",0,0,0,99,"GG","panda","lemon","panda_lemon","TL_Pic",1,36.8797878458165,-5503.83565641195,921.994696145412
"id25","A",0,0,0,99,"GC","grizzly","cabbage","grizzly_cabbage","BR_Pic",1,28.5176042998373,-322.855570836808,1425.88021499186
"id26","A",0,0,0,99,"GC","zebra","melon","zebra_melon","TL_Pic",1,156.579523860607,2140.39784756955,539.929392622784
"id27","A",0,0,0,99,"CG","grizzly","berries","grizzly_berries","TL_Pic",1,0,17665.7021381797,493.910226900829
"id28","A",0,0,0,99,"GC","lion","brownie","lion_brownie","BL_Pic",1,395.756167580034,-50725.1592078465,2327.97745635314
"id29","A",0,0,0,99,"GC","panda","berries","panda_berries","BL_Pic",1,274.53556556087,-33811.7537077453,5490.7113112174
"id30","A",0,0,0,99,"GG","lion","garlic","lion_garlic","TR_Pic",1,88.6020705258613,13610.0486747231,681.554388660472
"id31","A",0,0,0,99,"GG","zebra","berries","zebra_berries","TL_Pic",1,0,1965.47325858469,255.583310818765
"id32","A",0,0,0,99,"GG","lion","berries","lion_berries","TL_Pic",1,0,-493.829303696635,409.728362340713
"id33","A",0,0,0,99,"GC","grizzly","melon","grizzly_melon","TL_Pic",1,0,-6488.8411719875,374.786615690915
"id34","A",0,0,0,99,"GG","zebra","cabbage","zebra_cabbage","BL_Pic",1,462.82782395558,29406.429539619,1128.84835111117
"id35","A",0,0,0,99,"GC","grizzly","garlic","grizzly_garlic","TL_Pic",0,205.131553407593,-16364.1564546925,1864.83230370539
"id36","A",0,0,0,99,"GG","grizzly","cabbage","grizzly_cabbage","BL_Pic",1,0,25688.1508239522,2076.64417232526
"id37","A",0,0,0,99,"GC","zebra","brownie","zebra_brownie","BL_Pic",1,692.156196559649,15000.1413633565,1134.68228944205
"id38","A",0,0,0,99,"GG","lion","melon","lion_melon","BL_Pic",1,37.3579860445578,10042.7493872435,533.685514922254
