ID,eyetrial,window,Condition,sum,Target_obj,Target_subj,Target_prop,SubjComp_prop,ObjComp_prop,Distr_prop,GivenSubj_prop,GivenObj_prop,surveyExclude,BL_Pic,Comp_subj_pic,First_pic,lgerror,excludeLargeError,excludeTriggerError,excludeRefError
32,24,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
32,24,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,1,0,0,0
33,24,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
20,97,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
25,48,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
23,79,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
29,66,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
33,101,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
4,17,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
12,31,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
21,94,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
4,27,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,1,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
39,24,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
39,24,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,1,0,0,0
20,102,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
39,112,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
21,61,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
6,96,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
23,19,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
23,111,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
38,34,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
38,76,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
35,89,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
17,29,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
19,75,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
15,19,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
3,35,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
26,32,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
2,76,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
10,102,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,1,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
37,79,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
8,23,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
29,47,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
19,54,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
34,103,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,1,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
2,98,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
32,38,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
37,17,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,0,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
35,72,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
36,42,NA,CG,NA,bagel,panda,NA,NA,NA,NA,NA,NA,0,zebra_bagel,zebra_bagel,zebra_bagel,0,0,0,0
16,110,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,0,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
34,65,NA,CG,NA,bagel,grizzly,NA,NA,NA,NA,NA,NA,1,lion_bagel,lion_bagel,lion_bagel,0,0,0,0
38,99,NA,CG,NA,bagel,lion,NA,NA,NA,NA,NA,NA,0,grizzly_bagel,grizzly_bagel,grizzly_bagel,0,0,0,0
18,22,NA,CG,NA,bagel,zebra,NA,NA,NA,NA,NA,NA,1,panda_bagel,panda_bagel,panda_bagel,0,0,0,0
